channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,watch_time_hours,stream_time_hours,followers_per_hour,views_per_follower,engagement_rate
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,True,False,English,103269362.5,3587.5,483.57073170731707,53.629351341069054,0.00853772512566622
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,True,False,English,101527955.0,3530.75,388.0716561637046,65.47001278660385,0.004822827472527679
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,True,True,Portuguese,94076515.25,8588.0,119.21040987424313,100.22827875938069,0.0062094267198827815
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,True,False,English,66171969.0,8629.0,81.5837292849693,151.34809783149097,0.0019554609173986336
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,True,False,English,61183334.5,2061.0,1003.6021348859776,38.19264667205563,0.003311592037635938
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,True,False,English,61146651.25,1371.0,404.23121808898617,111.35992356563774,0.02712867411435567
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,True,False,English,56011253.25,2271.25,479.83445239405614,42.285920478903016,0.0059350261775864095
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,True,False,English,55031124.75,2464.75,172.62115833248808,1575.0598117837299,0.037312112826640674
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,True,False,English,48805949.0,2041.5,466.191525838844,53.95430006409381,0.006338849320841619
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,True,False,English,47757165.25,1548.0,990.109173126615,23.716919740403956,0.0047474642089451935
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English,47240616.5,1813.0,686.3436293436293,40.27817615910751,0.004873843900639977
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,True,False,English,47215504.75,2141.5,92.9614756012141,253.69342515710002,0.008152995332251717
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,True,False,English,44577445.25,1347.0,369.47141796585004,114.24192751136277,0.004670763538361876
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,True,False,Spanish,43143877.25,971.25,3933.623680823681,15.338033813091998,0.007467458967053671
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,True,False,Spanish,40167042.5,676.25,5865.47134935305,10.46630337638109,0.01355122322719723
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,True,True,German,40141016.5,1129.0,975.2816651904341,33.77522697901085,0.01151163254006092
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,True,True,English,38824007.0,1921.75,122.89267594640302,166.55370095143732,0.007055942906406734
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,92205,34405975,True,False,Korean,36444374.5,3020.5,30.52640291342493,373.1465213383222,0.02467615204926736
